CÓDIGO_Aluno,Class,Grade,level,Activities,Badges,In Class,Points,Speaking tasks,Speaking skill,Speaking total,Quizzes,Quizzes skill,Ratings,Feedbacks
aluno256,fof6t,6º ano,A1,11,0,3,460,1,0%,00:00:03,7,43%,1,1
aluno257,oany5,9º ano,A1,13,0,0,457,2,0%,00:00:04,8,62%,1,1
aluno258,ymbb7,9º ano,A0,9,0,3,452,0,0%,00:00:00,9,46%,3,0
aluno259,5u3zk,7º ano,A1,1,0,5,450,1,0%,00:00:07,0,0%,0,0
aluno260,4uz8p,#N/D,#N/D,11,0,0,441,1,0%,00:00:02,10,64%,2,0
aluno261,5u3zk,7º ano,A0,11,1,0,428,2,0%,00:00:17,7,34%,1,0
aluno262,5u3zk,7º ano,A0,5,0,5,425,0,0%,00:00:00,5,66%,1,0
aluno263,dg23e,7º ano,A1,11,0,0,422,2,0%,00:00:06,6,70%,1,1
aluno264,gqzpi,8º ano,A1,0,0,11,420,0,0%,00:00:00,0,0%,0,0
aluno265,orbda,#N/D,#N/D,9,0,0,418,2,0%,00:00:04,6,69%,1,0
aluno266,_ny0606_default,#N/D,#N/D,8,1,0,417,1,0%,00:00:02,7,62%,0,0
aluno267,4uz8p,#N/D,#N/D,20,0,0,415,0,0%,00:00:00,20,42%,0,0
aluno268,udlfi,6º ano,A0,14,0,0,414,2,0%,00:00:05,12,42%,4,0
aluno269,orbda,#N/D,#N/D,8,0,0,406,2,0%,00:00:06,6,59%,3,0
aluno270,eyk3i,8º ano,#N/D,9,0,0,402,2,0%,00:00:06,5,76%,1,1
aluno271,icmob,8º ano,A0,4,1,0,400,2,0%,00:00:09,2,100%,0,2
aluno272,ccloi,6º ano,A1,6,0,1,400,2,0%,00:00:08,3,100%,0,1
aluno273,gqzpi,8º ano,A1,0,0,9,400,0,0%,00:00:00,0,0%,0,0
aluno274,33xi9,#N/D,#N/D,4,0,0,395,4,0%,00:00:10,0,0%,2,0
aluno275,fztih,9º ano,A0,17,0,0,395,3,0%,00:00:09,14,54%,2,0
aluno276,ymbb7,9º ano,A0,4,0,5,393,0,0%,00:00:00,4,37%,2,0
aluno277,fof6t,6º ano,A0,4,0,3,383,3,0%,00:00:06,1,67%,0,2
aluno278,udlfi,6º ano,A1,19,0,0,381,0,0%,00:00:00,16,41%,5,0
aluno279,87ccs,6º ano,A1,6,0,0,378,3,0%,00:00:06,3,52%,0,2
aluno280,dzgln,7º ano,A0,13,0,0,378,2,0%,00:00:05,8,42%,1,0
aluno281,zocoy,9º ano,A2,6,0,0,375,4,0%,00:00:17,2,75%,0,3
aluno282,55338,#N/D,#N/D,7,0,0,373,2,0%,00:00:09,5,65%,1,2
aluno283,testtest2,,#N/D,6,0,0,372,2,0%,00:00:11,4,85%,0,0
aluno284,1ecn2,8º ano,#N/D,6,0,0,369,3,0%,00:00:13,3,39%,1,0
aluno285,udlfi,6º ano,A0,12,0,0,357,3,0%,00:00:14,6,46%,2,0
aluno286,ouhzt,6º ano,A1,10,0,0,350,2,0%,00:00:10,6,60%,2,1
aluno287,ccloi,6º ano,,4,0,1,350,2,0%,00:00:08,2,100%,0,1
aluno288,9qp7p,6º ano,#N/D,1,0,4,350,1,0%,00:00:02,0,0%,0,0
aluno289,ymbb7,9º ano,A2,5,0,4,339,0,0%,00:00:00,5,51%,1,0
